"You may also be interested in the following product(s)", "Up-Sell Products"
"Cart", "My Bag"
"Product Description", "Description"
"Based on your selection, you may be interested in the following items:", "Crossell Products"
"Remove item", "Remove"
"My Account", "Account"
"My Wishlist", "Wishlist"
